time (seconds), x, y, target, angle
3.273106, 0, 0, False, 23.01362
3.291694, 0, 0, False, 24.87242
3.309174, 0, 0, False, 26.62046
3.32575, 0, 0, False, 28.27805
3.342308, 0, 0, False, 29.9338
3.358883, 0, 0, False, 31.50896
3.378428, 0, 0, False, 33.25167
3.396068, 0, 0, False, 34.73116
3.413027, 0, 0, False, 36.0672
3.430037, 0, 0, False, 37.32057
3.447737, 0, 0, False, 38.53072
3.466969, 0, 0, False, 39.73468
3.485754, 0, 0, False, 39.73468
3.502769, 0, 0, False, 39.64782
3.523029, 0, 0, False, 39.42126
3.541672, 0, 0, False, 39.10851
3.558239, 0, 0, False, 38.74825
3.574806, 0, 0, False, 38.47033
3.591372, 0, 0, False, 38.27475
3.617668, 0, 0, False, 38.17175
3.634235, 0, 0, False, 38.17175
3.650917, 0, 0, False, 38.17175
3.667611, 0, 0, False, 38.17175
3.684675, 0, 0, False, 38.17175
3.700505, 0, 0, False, 38.17175
3.717072, 0, 0, False, 38.17175
3.733639, 0, 0, False, 38.17175
3.750205, 0, 0, False, 38.17175
3.766771, 0, 0, False, 38.17175
3.783661, 0, 0, False, 38.17175
3.799904, 0, 0, False, 38.17175
3.81647, 0, 0, False, 38.08942
3.835956, 0, 0, False, 37.87868
3.8549, 0, 0, False, 37.56612
3.871584, 0, 0, False, 37.20737
3.888151, 0, 0, False, 36.76877
3.904717, 0, 0, False, 36.24787
3.921284, 0, 0, False, 35.6446
3.93785, 0, 0, False, 34.95903
3.954874, 0, 0, False, 34.1676
3.970984, 0, 0, False, 33.34077
4.038458, 0, 0, False, 28.51188
4.055994, 0, 0, False, 27.16472
4.073299, 0, 0, False, 25.74535
4.090932, 0, 0, False, 24.20584
4.109477, 0, 0, False, 22.48351
4.127563, 0, 0, False, 20.70567
4.145518, 0, 0, False, 18.91024
4.162539, 0, 0, False, 17.20809
4.179143, 0, 0, False, 15.54777
4.195709, 0, 0, False, 13.89112
4.212276, 0, 0, False, 12.23447
4.229301, 0, 0, False, 10.5319
4.245929, 0, 0, False, 8.869133
4.26264, 0, 0, False, 7.198073
4.279449, 0, 0, False, 5.517178
4.296454, 0, 0, False, 3.816653
4.313982, 0, 0, False, 2.063826
4.330724, 0, 0, False, 0.3896872
4.347973, 0, 0, False, 358.6647
4.365199, 0, 0, False, 356.9422
4.382344, 0, 0, False, 355.2277
4.399282, 0, 0, False, 353.5339
4.416054, 0, 0, False, 351.8567
4.432981, 0, 0, False, 350.1641
4.449563, 0, 0, False, 348.5059
4.466761, 0, 0, False, 346.7861
4.483327, 0, 0, False, 345.1295
4.501012, 0, 0, False, 343.361
4.518372, 0, 0, False, 341.6249
4.534939, 0, 0, False, 339.9683
4.551974, 0, 0, False, 338.2647
4.569203, 0, 0, False, 336.5418
4.586693, 0, 0, False, 334.7928
4.603888, 0, 0, False, 333.0734
4.621459, 0, 0, False, 331.3162
4.638374, 0, 0, False, 329.6248
4.655298, 0, 0, False, 327.9323
4.672445, 0, 0, False, 326.2176
4.689785, 0, 0, False, 324.4836
4.708393, 0, 0, False, 322.6228
4.727004, 0, 0, False, 320.7617
4.743906, 0, 0, False, 319.0715
4.761108, 0, 0, False, 317.3512
4.778381, 0, 0, False, 315.6239
4.796363, 0, 0, False, 313.8257
4.813925, 0, 0, False, 312.0696
4.831566, 0, 0, False, 310.3054
4.849305, 0, 0, False, 308.5316
4.866497, 0, 0, False, 306.8124
4.883692, 0, 0, False, 305.0929
4.901916, 0, 0, False, 303.2705
4.91968, 0, 0, False, 301.4941
4.93728, 0, 0, False, 299.7341
4.954981, 0, 0, False, 297.964
4.972549, 0, 0, False, 296.2072
4.990091, 0, 0, False, 294.453
5.055223, 0, 0, False, 287.9398
5.072927, 0, 0, False, 286.1694
5.090889, 0, 0, False, 284.3732
5.108901, 0, 0, False, 282.5721
5.128185, 0, 0, False, 280.6436
5.144752, 0, 0, False, 278.9869
5.161961, 0, 0, False, 277.266
5.178904, 0, 0, False, 275.5717
5.195543, 0, 0, False, 273.9078
5.212739, 0, 0, False, 272.1881
5.231907, 0, 0, False, 270.2714
5.249361, 0, 0, False, 268.526
5.266654, 0, 0, False, 266.7967
5.28356, 0, 0, False, 265.106
5.300649, 0, 0, False, 263.3972
5.318416, 0, 0, False, 261.6205
5.335837, 0, 0, False, 259.8783
5.35377, 0, 0, False, 258.085
5.370499, 0, 0, False, 256.4121
5.387612, 0, 0, False, 254.7007
5.404665, 0, 0, False, 252.9955
5.421231, 0, 0, False, 251.3389
5.438106, 0, 0, False, 249.6514
5.454672, 0, 0, False, 247.9948
5.471708, 0, 0, False, 246.2912
5.489018, 0, 0, False, 244.5601
5.507236, 0, 0, False, 242.7384
5.524773, 0, 0, False, 240.9846
5.541766, 0, 0, False, 239.2854
5.558731, 0, 0, False, 237.5889
5.575301, 0, 0, False, 235.9319
5.592854, 0, 0, False, 234.1765
5.609654, 0, 0, False, 232.4965
5.626942, 0, 0, False, 230.7677
5.643669, 0, 0, False, 229.0951
5.660802, 0, 0, False, 227.3818
5.677551, 0, 0, False, 225.7068
5.694214, 0, 0, False, 224.0405
5.711203, 0, 0, False, 222.3417
5.728785, 0, 0, False, 220.5835
5.746387, 0, 0, False, 218.8232
5.763616, 0, 0, False, 217.1003
5.780852, 0, 0, False, 215.3767
5.797921, 0, 0, False, 213.6698
5.815458, 0, 0, False, 211.9161
5.833204, 0, 0, False, 210.1415
5.851002, 0, 0, False, 208.3617
5.868774, 0, 0, False, 206.5845
5.885641, 0, 0, False, 204.8978
5.90286, 0, 0, False, 203.1759
5.920225, 0, 0, False, 201.4394
5.938216, 0, 0, False, 199.6403
5.955354, 0, 0, False, 197.9265
5.972696, 0, 0, False, 196.1923
5.989961, 0, 0, False, 194.4658
6.055435, 0, 0, False, 187.9184
6.072023, 0, 0, False, 186.2596
6.089987, 0, 0, False, 184.4632
6.108676, 0, 0, False, 182.5942
6.127784, 0, 0, False, 180.6834
6.145698, 0, 0, False, 178.8921
6.163102, 0, 0, False, 177.1517
6.181364, 0, 0, False, 175.3255
6.199048, 0, 0, False, 173.5571
6.216666, 0, 0, False, 171.7953
6.233802, 0, 0, False, 170.0817
6.253079, 0, 0, False, 168.154
6.270737, 0, 0, False, 166.3882
6.288599, 0, 0, False, 164.602
6.305451, 0, 0, False, 162.9167
6.32432, 0, 0, False, 161.0298
6.341967, 0, 0, False, 159.2652
6.360993, 0, 0, False, 157.3625
6.379823, 0, 0, False, 155.4795
6.397408, 0, 0, False, 153.721
6.415718, 0, 0, False, 151.89
6.432975, 0, 0, False, 150.1644
6.450113, 0, 0, False, 148.4505
6.467685, 0, 0, False, 146.6933
6.485115, 0, 0, False, 144.9504
6.502584, 0, 0, False, 143.2034
6.520084, 0, 0, False, 141.4534
6.537227, 0, 0, False, 139.8273
6.556161, 0, 0, False, 138.1388
6.573759, 0, 0, False, 136.6624
6.592135, 0, 0, False, 135.2219
6.610142, 0, 0, False, 133.9078
6.62758, 0, 0, False, 132.7263
6.645266, 0, 0, False, 131.6219
6.6642, 0, 0, False, 130.5471
6.681467, 0, 0, False, 129.6564
6.698866, 0, 0, False, 128.8497
6.715812, 0, 0, False, 128.1501
6.732862, 0, 0, False, 127.5335
6.750713, 0, 0, False, 126.9835
6.768518, 0, 0, False, 126.53
6.786211, 0, 0, False, 126.1733
6.803897, 0, 0, False, 125.9105
6.821771, 0, 0, False, 125.7408
6.839165, 0, 0, False, 125.7408
6.855736, 0, 0, False, 125.8232
6.873044, 0, 0, False, 125.9991
6.890574, 0, 0, False, 126.2695
6.908072, 0, 0, False, 126.6312
6.926441, 0, 0, False, 127.1121
6.945397, 0, 0, False, 127.7162
6.963136, 0, 0, False, 128.376
6.981011, 0, 0, False, 129.1367
6.999083, 0, 0, False, 130.0036
7.016462, 0, 0, False, 130.9281
7.078057, 0, 0, False, 133.0661
7.098085, 0, 0, False, 133.6409
7.115994, 0, 0, False, 134.0587
7.134054, 0, 0, False, 134.3822
7.151372, 0, 0, False, 134.6024
7.168623, 0, 0, False, 134.7325
7.185974, 0, 0, False, 134.773
7.202922, 0, 0, False, 134.773
7.219111, 0, 0, False, 134.773
7.235677, 0.005844639, -0.005798515, False, 134.773
7.25261, 0.01792515, -0.01778369, False, 134.773
7.268833, 0.03510432, -0.03482729, False, 134.773
7.285377, 0.05845134, -0.05799006, False, 134.773
7.301943, 0.08767679, -0.08698489, False, 134.773
7.318608, 0.1229896, -0.122019, False, 134.773
7.335626, 0.1652188, -0.1639149, False, 134.773
7.351697, 0.2105979, -0.2089359, False, 134.773
7.368479, 0.2639817, -0.2618985, False, 134.773
7.387739, 0.3331491, -0.33052, False, 134.773
7.404544, 0.3995153, -0.3963625, False, 134.773
7.42117, 0.4710609, -0.4673434, False, 134.773
7.437444, 0.5467344, -0.5424197, False, 134.773
7.454729, 0.6334697, -0.6284705, False, 134.773
7.47064, 0.718704, -0.7130322, False, 134.773
7.487142, 0.8128988, -0.8064836, False, 134.773
7.503922, 0.8128988, -0.8064836, False, 134.8575
7.522272, 0.8128988, -0.8064836, False, 135.0509
7.539222, 0.8128988, -0.8064836, False, 135.3157
7.555983, 0.8128988, -0.8064836, False, 135.6619
7.572553, 0.8128988, -0.8064836, False, 136.0865
7.58912, 0.8128988, -0.8064836, False, 136.5933
7.606437, 0.8128988, -0.8064836, False, 137.2131
7.623975, 0.8128988, -0.8064836, False, 137.933
7.643565, 0.8128988, -0.8064836, False, 138.6221
7.663138, 0.8128988, -0.8064836, False, 139.1956
7.681196, 0.8128988, -0.8064836, False, 139.6269
7.699346, 0.8128988, -0.8064836, False, 139.9615
7.716735, 0.8128988, -0.8064836, False, 140.1915
7.73409, 0.8128988, -0.8064836, False, 140.3306
7.751598, 0.8128988, -0.8064836, False, 140.379
7.769124, 0.9246615, -0.9414805, False, 140.379
7.785694, 1.030329, -1.069115, False, 140.379
7.802264, 1.135993, -1.196746, False, 140.379
7.818828, 1.241623, -1.324334, False, 140.379
7.835398, 1.342037, -1.445624, False, 140.379
7.851982, 1.437278, -1.560665, False, 140.379
7.868535, 1.527094, -1.669151, False, 140.379
7.885095, 1.611704, -1.771351, False, 140.379
7.901661, 1.691097, -1.867249, False, 140.379
7.918228, 1.765242, -1.956808, False, 140.379
7.935146, 1.835482, -2.04165, False, 140.379
7.951718, 1.899029, -2.118408, False, 140.379
7.968631, 1.958413, -2.190137, False, 140.379
