time(sec),x,z
7.363537,-0.7357818,-2.484869
7.441332,-0.3399627,-2.545384
7.5109,-0.04538441,-2.602093
7.583846,0.3473912,-2.677687
7.656838,0.6419789,-2.734415
7.729268,1.036101,-2.802922
7.802297,1.435453,-2.840829
7.87193,1.732407,-2.88346
7.941844,2.127591,-2.945344
8.017941,2.424283,-2.989232
8.087023,2.820304,-3.045657
8.161059,3.218866,-3.083945
8.232244,3.52249,-3.069011
8.303819,3.924415,-3.058553
8.36951,4.223887,-3.076344
8.446886,4.623242,-3.097491
8.514137,4.922744,-3.114759
8.57963,5.222247,-3.132028
8.72282,5.781381,-2.559867
8.86184,5.821675,-1.861028
time(sec),x,z
0,0,0
0,0,0
0.02000046,0,0.1
0.03729153,0,0.2
0.05414295,0,0.2999957
0.08815765,0.002412044,0.2999935
0.1050062,0.002412044,0.2999935
0.1562786,0.004824081,0.2999871
0.2255373,0.01206007,0.299943
0.2901926,0.02170751,0.2998252
0.3565063,0.03376527,0.299583
0.4214754,0.05546214,0.2988822
0.4915752,0.07473693,0.2979734
0.5573502,0.1636343,0.2902739
0.6244764,0.3623454,0.2516484
0.6908846,0.4772021,0.214993
0.7567616,0.5020132,0.2055929
0.8229828,0.5065048,0.2038326
0.8881121,0.5199419,0.1984582
0.9583092,0.5862436,0.1694918
1.025093,0.7097141,0.1038413
1.09319,0.9738045,-0.1013777
1.159789,1.248409,-0.489216
1.225743,1.381587,-1.048239
1.294276,1.378633,-1.178408
1.359162,1.378633,-1.178408
1.425146,1.378633,-1.178408
1.487108,1.378633,-1.178408
1.56019,1.378633,-1.178408
1.636602,1.378633,-1.178408
1.712316,1.378633,-1.178408
1.789829,1.378633,-1.178408
1.867424,1.378633,-1.178408
1.94257,1.378633,-1.178408
2.021148,1.377927,-1.18803
2.098338,1.377153,-1.197647
2.173717,1.377153,-1.197647
2.248937,1.377153,-1.197647
2.322206,1.377153,-1.197647
2.3991,1.377153,-1.197647
2.472939,1.377153,-1.197647
2.547921,1.377153,-1.197647
2.623178,1.377153,-1.197647
2.69794,1.377153,-1.197647
2.772592,1.377153,-1.197647
2.847719,1.377153,-1.197647
2.923615,1.377153,-1.197647
3.000895,1.377153,-1.197647
3.152736,1.377153,-1.197647
3.305144,1.381158,-1.033773
3.325445,1.381158,-1.033773
3.379866,1.381158,-1.033773
3.396719,1.381158,-1.033773
3.455729,1.381158,-1.033773
3.527801,1.381158,-1.033773
3.600638,1.381158,-1.033773
3.672807,1.381158,-1.033773
3.745425,1.380466,-1.016903
3.820243,1.381461,-1.043417
3.893296,1.381998,-1.079592
3.970295,1.381992,-1.077181
4.04231,1.381981,-1.074769
4.114641,1.381981,-1.074769
4.187636,1.381981,-1.089241
4.255287,1.381966,-1.091653
4.322298,1.381966,-1.091653
4.394841,1.381966,-1.091653
4.457747,1.381966,-1.091653
4.523873,1.381966,-1.091653
4.591898,1.381966,-1.091653
4.662085,1.381966,-1.091653
4.731095,1.381966,-1.091653
4.865931,1.381966,-1.091653
time(sec),x,z
0,0,0
0.02,0,0
0.1131259,0,0
0.1341145,0,0
0.1684206,0,0
0.1852671,0,0
0.202126,0,0
0.2385471,0,0
0.3091015,0,0
